aspirant_id,preferred_subject_1,preferred_subject_2,target_college_1,target_college_2,preparation_level,learning_style,hours_per_week,legal_reasoning_preference,logical_reasoning_preference,english_preference,current_affairs_preference,quantitative_preference
ASP001,Current Affairs,English,Other NLUs,NLU Delhi,Intermediate,Auditory,14,5,2,5,5,5
ASP002,Quantitative Techniques,Current Affairs,Other NLUs,NALSAR Hyderabad,Beginner,Reading/Writing,31,2,1,5,5,5
ASP003,Current Affairs,English,NLIU Bhopal,Other NLUs,Advanced,Kinesthetic,30,5,2,5,5,1
ASP004,Quantitative Techniques,English,NLU Delhi,NUJS Kolkata,Advanced,Visual,35,2,5,5,5,5
ASP005,Quantitative Techniques,Legal Reasoning,NLIU Bhopal,GNLU Gandhinagar,Beginner,Kinesthetic,13,5,5,3,1,5
ASP006,Quantitative Techniques,English,NUJS Kolkata,MNLU Mumbai,Intermediate,Auditory,11,1,1,5,5,5
ASP007,English,Legal Reasoning,Other NLUs,NLU Delhi,Beginner,Auditory,13,5,2,5,1,5
ASP008,Quantitative Techniques,Logical Reasoning,NLSIU Bangalore,Other NLUs,Intermediate,Mixed,33,5,5,5,1,5
ASP009,Legal Reasoning,English,NLIU Bhopal,GNLU Gandhinagar,Advanced,Visual,42,5,5,5,5,2
ASP010,English,Quantitative Techniques,GNLU Gandhinagar,NUJS Kolkata,Intermediate,Mixed,28,5,2,5,3,5
ASP011,English,Quantitative Techniques,GNLU Gandhinagar,NALSAR Hyderabad,Beginner,Auditory,12,2,5,5,1,5
ASP012,Legal Reasoning,Logical Reasoning,Other NLUs,NLU Delhi,Advanced,Mixed,14,5,5,2,2,3
ASP013,Legal Reasoning,Quantitative Techniques,NALSAR Hyderabad,NLIU Bhopal,Beginner,Mixed,38,5,2,2,5,5
ASP014,Legal Reasoning,Quantitative Techniques,MNLU Mumbai,NLU Delhi,Advanced,Auditory,13,5,5,2,5,5
ASP015,English,Current Affairs,NLSIU Bangalore,NLIU Bhopal,Intermediate,Mixed,14,3,1,5,5,5
ASP016,Quantitative Techniques,Current Affairs,GNLU Gandhinagar,NLSIU Bangalore,Advanced,Mixed,31,1,2,2,5,5
ASP017,Logical Reasoning,Quantitative Techniques,NLSIU Bangalore,NUJS Kolkata,Intermediate,Auditory,21,5,5,1,3,5
ASP018,Logical Reasoning,Quantitative Techniques,NLU Delhi,NLIU Bhopal,Beginner,Auditory,34,2,5,5,1,5
ASP019,English,Logical Reasoning,NLSIU Bangalore,NALSAR Hyderabad,Beginner,Visual,38,2,5,5,3,1
ASP020,Logical Reasoning,Legal Reasoning,NLSIU Bangalore,GNLU Gandhinagar,Intermediate,Mixed,38,5,5,3,1,2
ASP021,Logical Reasoning,Current Affairs,NUJS Kolkata,NLSIU Bangalore,Beginner,Auditory,41,5,5,5,5,3
ASP022,English,Logical Reasoning,NLSIU Bangalore,NLU Delhi,Intermediate,Auditory,50,5,5,5,1,5
ASP023,Quantitative Techniques,Legal Reasoning,NUJS Kolkata,NLIU Bhopal,Intermediate,Kinesthetic,43,5,3,1,2,5
ASP024,Legal Reasoning,Logical Reasoning,NLIU Bhopal,NLSIU Bangalore,Beginner,Reading/Writing,24,5,5,3,5,5
ASP025,Quantitative Techniques,English,Other NLUs,GNLU Gandhinagar,Intermediate,Mixed,50,5,1,5,5,5
