aspirant_id,preferred_subject_1,preferred_subject_2,target_college_1,target_college_2,preparation_level,learning_style,hours_per_week,legal_reasoning_preference,logical_reasoning_preference,english_preference,current_affairs_preference,quantitative_preference
ASP001,English,Logical Reasoning,NALSAR Hyderabad,NLIU Bhopal,Advanced,Auditory,43,2,5,5,1,3
ASP002,Logical Reasoning,Quantitative Techniques,NUJS Kolkata,NLIU Bhopal,Beginner,Mixed,34,5,5,5,2,5
ASP003,English,Legal Reasoning,GNLU Gandhinagar,NLU Delhi,Intermediate,Reading/Writing,47,5,5,5,5,3
ASP004,English,Current Affairs,NUJS Kolkata,NALSAR Hyderabad,Intermediate,Visual,12,2,2,5,5,5
ASP005,Current Affairs,Legal Reasoning,MNLU Mumbai,NLIU Bhopal,Advanced,Mixed,11,5,1,2,5,5
ASP006,English,Current Affairs,NUJS Kolkata,GNLU Gandhinagar,Intermediate,Mixed,22,3,1,5,5,1
ASP007,English,Current Affairs,GNLU Gandhinagar,NLIU Bhopal,Intermediate,Auditory,31,1,5,5,5,3
ASP008,Legal Reasoning,Current Affairs,NLIU Bhopal,NLSIU Bangalore,Advanced,Visual,20,5,1,5,5,5
ASP009,Current Affairs,Legal Reasoning,MNLU Mumbai,NUJS Kolkata,Advanced,Reading/Writing,11,5,3,5,5,3
ASP010,Quantitative Techniques,Legal Reasoning,NLSIU Bangalore,GNLU Gandhinagar,Advanced,Mixed,10,5,5,1,1,5
ASP011,Legal Reasoning,Quantitative Techniques,NLU Delhi,NLSIU Bangalore,Intermediate,Auditory,20,5,5,3,5,5
ASP012,Current Affairs,English,MNLU Mumbai,NUJS Kolkata,Beginner,Reading/Writing,12,2,1,5,5,1
ASP013,Legal Reasoning,Quantitative Techniques,NALSAR Hyderabad,MNLU Mumbai,Beginner,Kinesthetic,24,5,3,1,2,5
ASP014,Current Affairs,Legal Reasoning,NLU Delhi,NLSIU Bangalore,Intermediate,Visual,39,5,1,2,5,1
ASP015,Current Affairs,Quantitative Techniques,GNLU Gandhinagar,NALSAR Hyderabad,Advanced,Kinesthetic,21,3,5,2,5,5
ASP016,Legal Reasoning,Logical Reasoning,NUJS Kolkata,NLIU Bhopal,Advanced,Visual,44,5,5,3,5,1
ASP017,Current Affairs,Logical Reasoning,NLSIU Bangalore,Other NLUs,Advanced,Mixed,20,2,5,1,5,2
ASP018,Quantitative Techniques,English,Other NLUs,MNLU Mumbai,Intermediate,Reading/Writing,16,2,5,5,5,5
ASP019,English,Logical Reasoning,NUJS Kolkata,GNLU Gandhinagar,Intermediate,Visual,40,3,5,5,1,1
ASP020,Legal Reasoning,Quantitative Techniques,MNLU Mumbai,NLIU Bhopal,Beginner,Mixed,35,5,1,3,5,5
ASP021,Quantitative Techniques,Logical Reasoning,Other NLUs,NLIU Bhopal,Intermediate,Kinesthetic,39,2,5,2,3,5
ASP022,Current Affairs,English,Other NLUs,GNLU Gandhinagar,Beginner,Visual,43,2,2,5,5,5
ASP023,Legal Reasoning,Quantitative Techniques,NLSIU Bangalore,MNLU Mumbai,Advanced,Mixed,35,5,5,5,1,5
ASP024,Logical Reasoning,English,NUJS Kolkata,MNLU Mumbai,Intermediate,Mixed,36,5,5,5,1,2
ASP025,Logical Reasoning,Current Affairs,NLU Delhi,MNLU Mumbai,Intermediate,Kinesthetic,13,5,5,3,5,5
ASP026,Logical Reasoning,Legal Reasoning,NLIU Bhopal,NALSAR Hyderabad,Advanced,Visual,43,5,5,3,3,1
ASP027,Legal Reasoning,English,Other NLUs,NLIU Bhopal,Beginner,Kinesthetic,50,5,5,5,5,3
ASP028,English,Legal Reasoning,Other NLUs,NLIU Bhopal,Beginner,Reading/Writing,27,5,5,5,2,1
ASP029,Current Affairs,Logical Reasoning,Other NLUs,NALSAR Hyderabad,Intermediate,Visual,21,3,5,2,5,3
