mentor_id,name,clat_year,clat_rank,clat_score,college,specialization,teaching_style,mentorship_experience_months,legal_reasoning_expertise,logical_reasoning_expertise,english_expertise,current_affairs_expertise,quantitative_expertise
MNT001,Mentor 1,2022,111,104,NLU Delhi,All-rounder,Visual,20,8,9,9,8,7
MNT002,Mentor 2,2022,153,87,NALSAR Hyderabad,Logical Reasoning Expert,Kinesthetic,34,5,8,7,8,7
MNT003,Mentor 3,2023,196,71,NLSIU Bangalore,Quantitative Expert,Visual,7,6,5,7,6,10
MNT004,Mentor 4,2020,130,93,NALSAR Hyderabad,Logical Reasoning Expert,Visual,30,5,8,7,6,5
MNT005,Mentor 5,2020,160,83,NALSAR Hyderabad,Legal Reasoning Expert,Reading/Writing,24,8,6,5,8,6
MNT006,Mentor 6,2024,7,137,NLU Delhi,Quantitative Expert,Visual,15,6,5,6,7,10
MNT007,Mentor 7,2022,88,110,NLIU Bhopal,Quantitative Expert,Mixed,35,8,8,5,6,9
MNT008,Mentor 8,2022,143,89,NUJS Kolkata,Current Affairs Expert,Mixed,36,5,8,6,9,5
MNT009,Mentor 9,2024,10,136,NALSAR Hyderabad,Logical Reasoning Expert,Visual,22,8,8,6,5,7
MNT010,Mentor 10,2023,168,82,NUJS Kolkata,English Language Expert,Reading/Writing,44,6,7,10,7,7
MNT011,Mentor 11,2022,89,110,NUJS Kolkata,English Language Expert,Reading/Writing,25,8,8,9,7,5
MNT012,Mentor 12,2020,82,112,NALSAR Hyderabad,Legal Reasoning Expert,Visual,20,10,8,6,7,5
MNT013,Mentor 13,2022,127,96,NUJS Kolkata,Logical Reasoning Expert,Mixed,11,6,10,7,7,6
MNT014,Mentor 14,2023,176,78,NUJS Kolkata,English Language Expert,Reading/Writing,8,7,5,8,7,7
MNT015,Mentor 15,2022,112,101,NLU Delhi,Quantitative Expert,Visual,30,8,6,7,5,9
MNT016,Mentor 16,2024,129,98,NLSIU Bangalore,All-rounder,Auditory,11,8,9,9,9,8
MNT017,Mentor 17,2023,20,133,NALSAR Hyderabad,English Language Expert,Auditory,8,5,7,10,8,5
MNT018,Mentor 18,2020,6,138,NUJS Kolkata,Current Affairs Expert,Mixed,20,7,7,7,8,5
MNT019,Mentor 19,2021,197,70,NUJS Kolkata,English Language Expert,Reading/Writing,15,5,7,8,6,6
MNT020,Mentor 20,2024,130,94,NLSIU Bangalore,Quantitative Expert,Visual,37,7,7,7,5,8
